# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2084
#@/user_id	fwar34_sync
a 	啊	c=2 d=0.331211 t=2084
an jian 	按鍵	c=1 d=1 t=1217
an zhuang 	安裝	c=6 d=0.771052 t=2084
ba 	吧	c=23 d=1.56774 t=2084
ba 	把	c=5 d=1.06728 t=2084
ban ben 	版本	c=1 d=1 t=1443
bang 	幫	c=5 d=0.63297 t=2084
bang fa xia 	幫發下	c=2 d=0.67368 t=2084
bang huan xia 	幫換下	c=1 d=0.293758 t=2084
bang kan xia 	幫看下	c=1 d=1 t=1952
bang mang 	幫忙	c=2 d=0.687592 t=2084
bang tie xia 	幫貼下	c=1 d=1 t=923
bao 	包	c=10 d=1.45497 t=2084
bao yong yun 	包勇雲	c=2 d=1.99501 t=841
bei 	被	c=3 d=0.491644 t=2084
bei hei 	被黑	c=1 d=1 t=1991
bei jing 	北京	c=1 d=1 t=1079
ben lai 	本來	c=1 d=1 t=1711
bi jiao 	比較	c=0 d=0.127527 t=1670
bi jiao xiang 	比較像	c=1 d=1 t=1413
bi xu 	必須	c=1 d=1 t=889
bian ma 	編碼	c=4 d=3.55965 t=1633
bie 	別	c=1 d=0.0444858 t=2084
bie de 	別的	c=1 d=1 t=1339
bie gai le 	別改了	c=1 d=0.447088 t=2084
bie ren 	別人	c=2 d=1.04076 t=1499
bu 	不	c=2 d=1.12566 t=1957
bu chu lai 	不出來	c=2 d=1.68017 t=1847
bu cun zai 	不存在	c=1 d=1 t=675
bu da 	不大	c=2 d=1.956 t=1659
bu dao 	不到	c=1 d=0.923116 t=2084
bu dui 	不對	c=5 d=0.329559 t=2084
bu fang bian 	不方便	c=1 d=1 t=1009
bu gou 	不夠	c=1 d=1 t=977
bu guo 	不過	c=5 d=1.47997 t=2084
bu hui 	不會	c=2 d=0.56836 t=2084
bu hui bian 	不會變	c=1 d=1 t=1969
bu ji 	不急	c=1 d=1 t=1701
bu le 	不了	c=0 d=0.1 t=1247
bu neng 	不能	c=4 d=1.71564 t=1992
bu qing chu 	不清楚	c=1 d=0.106499 t=2084
bu shi 	不是	c=2 d=0.367879 t=2084
bu shu 	部署	c=0 d=0.0869358 t=2084
bu shu le 	部署了	c=2 d=1.84902 t=2084
bu tai 	不太	c=1 d=0.109804 t=1516
bu tai da 	不太大	c=1 d=1 t=1116
bu tai dui 	不太對	c=1 d=1 t=1517
bu xing 	不行	c=2 d=1.10707 t=1268
bu yi yang 	不一樣	c=1 d=0.207008 t=2084
bu ying xiang 	不影響	c=1 d=1 t=1958
bu yong 	不用	c=1 d=1.01225 t=1288
bu yong le 	不用了	c=1 d=1 t=869
bu zheng que 	不正確	c=1 d=1 t=1209
bu zhou 	步驟	c=2 d=1.91393 t=589
cai xing 	才行	c=1 d=1 t=746
can hui 	參會	c=1 d=1.01092 t=1070
can hui ren 	參會人	c=2 d=1.1054 t=1078
cang ku 	倉庫	c=1 d=1 t=2053
cao 	草	c=0 d=0.1 t=2025
cao zuo 	操作	c=4 d=0.211189 t=2084
cao zuo guo 	操作過	c=1 d=1 t=2027
cao zuo guo 	草做過	c=1 d=1 t=2026
ce shi 	測試	c=23 d=5.23014 t=2084
ce shi ge 	測試個	c=1 d=0.70822 t=2084
ce shi le 	測試了	c=1 d=1 t=2069
ce shi tu 	側視圖	c=1 d=1 t=552
ce shi xia 	測試下	c=5 d=3.88989 t=2084
cha bu dao 	查不到	c=1 d=0.97531 t=2084
cha le 	查了	c=1 d=1 t=1050
cha xia 	查下	c=1 d=0.557106 t=2084
chang jing 	場景	c=1 d=1 t=1680
cheng 	成	c=2 d=1.54607 t=1400
cheng xu 	程序	c=3 d=0.714523 t=2084
chong fu 	重複	c=1 d=1 t=1431
chong xin 	重新	c=16 d=3.37593 t=2084
chu 	出	c=1 d=1 t=847
chu bao 	出包	c=8 d=2.74674 t=2084
chu chai 	出差	c=1 d=1 t=1831
chu fa 	出發	c=1 d=1 t=1204
chu fa 	觸發	c=1 d=1 t=1205
chu ge 	出個	c=4 d=1.01607 t=2084
chu lai 	出來	c=1 d=1 t=1222
chu wen ti 	出問題	c=1 d=1 t=1473
chu xian 	出現	c=1 d=0.937067 t=2084
chuan 	串	c=0 d=0.066034 t=2084
chuan guo lai 	傳過來	c=1 d=0.860708 t=2084
chuang kou 	窗口	c=1 d=0.631284 t=2084
chun 	純	c=1 d=1 t=1165
ci 	次	c=0 d=0.1 t=1538
cong 	從	c=11 d=0.32596 t=2084
cong ke hu duan 	從客戶端	c=1 d=0.183599 t=2084
cun 	存	c=0 d=0.1 t=1019
cun chu 	存儲	c=1 d=1 t=2049
cun guo qu 	存過去	c=1 d=1 t=1020
da 	打	c=1 d=0.321528 t=2084
da cheng 	打成	c=1 d=1 t=1430
da de 	大的	c=1 d=1 t=987
da dian hua 	打電話	c=1 d=1 t=875
da gai 	大概	c=1 d=1 t=1899
da kai 	打開	c=3 d=1.24964 t=2084
da ni dian hua 	打你電話	c=1 d=1 t=621
da ri zhi 	打日誌	c=1 d=0.831104 t=2084
da wo 	打我	c=1 d=1 t=785
dai 	待	c=1 d=0.065377 t=2084
dai 	戴	c=1 d=1 t=1034
dai dong 	戴東	c=6 d=1.46676 t=2084
dai fu xian 	待復現	c=1 d=0.657047 t=2084
dai ma 	代碼	c=12 d=0.971558 t=2084
dan shi 	但是	c=6 d=0.847894 t=2084
dang shi 	當時	c=1 d=1 t=1230
dao 	到	c=8 d=4.82494 t=902
dao chu 	導出	c=1 d=1 t=2084
dao da 	盜打	c=1 d=1 t=1562
de 	的	c=144 d=11.5956 t=2084
deng 	等	c=6 d=1.50619 t=2084
deng chu bao 	等出包	c=1 d=0.965605 t=2084
deng dai 	等待	c=1 d=0.927743 t=2084
deng ni 	等你	c=1 d=1 t=1698
deng xia 	燈下	c=0 d=0.148166 t=2084
di fang 	地方	c=1 d=1 t=777
di san fang 	第三方	c=1 d=1 t=1250
di xia 	地下	c=0 d=0.0980199 t=2084
di xia 	底下	c=1 d=0.0985112 t=2084
di yi ge 	第一個	c=1 d=1 t=1552
dian 	電	c=1 d=1 t=667
dian hua 	電話	c=17 d=1.70601 t=2084
diao 	掉	c=0 d=0.0657047 t=2084
diao qi 	吊起	c=0 d=0.066034 t=2084
diao qi chuan 	吊起串	c=8 d=2.34751 t=2084
diao qi chuan 	掉氣喘	c=1 d=0.66034 t=2084
ding hao 	訂好	c=1 d=1 t=1251
ding le 	定了	c=1 d=1 t=1966
ding shi qi 	定時器	c=1 d=1 t=660
ding yi 	定義	c=1 d=1 t=694
dong tai 	動態	c=1 d=1 t=658
dong xi 	東西	c=1 d=1 t=988
dou 	都	c=8 d=0.527472 t=2084
dou shi 	都是	c=2 d=1.21225 t=1145
dou yao 	都要	c=1 d=1 t=1111
dou you 	都有	c=1 d=0.199888 t=2084
duan 	段	c=2 d=1.0513 t=1383
dui 	對	c=1 d=0.700496 t=1516
dui qi 	對齊	c=1 d=1 t=945
dui zhan 	堆棧	c=5 d=3.40471 t=1909
duo 	多	c=1 d=1 t=702
duo shao 	多少	c=1 d=1 t=1516
duo xie 	多謝	c=2 d=1.4536 t=2084
en 	恩	c=38 d=4.67923 t=2084
er 	而	c=1 d=1 t=805
er qie 	而且	c=1 d=1 t=1010
fa 	發	c=3 d=1.57394 t=1608
fa chu bao 	發出包	c=1 d=1 t=955
fa gei 	發給	c=1 d=0.245367 t=2084
fa qi 	發起	c=1 d=0.18452 t=2084
fa song 	發送	c=4 d=0.256661 t=2084
fa xia 	發下	c=7 d=1.17792 t=2084
fa yan 	發言	c=1 d=1 t=605
fan hui 	返回	c=2 d=1.33287 t=890
fan ye 	翻頁	c=3 d=1.99005 t=2084
fang fa 	方法	c=1 d=1 t=554
fang jia 	放假	c=1 d=1 t=767
fang kuo hao 	方括號	c=1 d=1.09303 t=2084
fang zhi 	防止	c=1 d=1 t=555
fen bu qing 	分不清	c=1 d=1 t=1471
fen zhi 	分支	c=8 d=1.9214 t=2084
feng liang 	馮良	c=1 d=1 t=650
fu 	付	c=1 d=1 t=1729
fu wu qi 	服務器	c=14 d=3.99655 t=2084
fu xian 	復現	c=2 d=0.979305 t=2084
fu za 	複雜	c=2 d=1.90523 t=1714
fu za le 	複雜了	c=1 d=1 t=1704
fu ze 	負責	c=2 d=1.0739 t=1358
gai 	改	c=2 d=1.10723 t=1352
gai 	該	c=1 d=1 t=743
gai bu 	概不	c=0 d=0.1 t=1246
gai bu le 	改不了	c=1 d=1 t=1248
gai bu le 	概不了	c=1 d=1 t=1247
gai cheng 	改成	c=1 d=0.65377 t=2084
gai le 	改了	c=2 d=0.867317 t=2084
gai le xia 	改了下	c=1 d=1 t=907
gai wei 	改爲	c=0 d=0.0951229 t=2084
gai xia 	改下	c=1 d=0.45612 t=2084
gang 	剛	c=4 d=0.47194 t=2084
gang li zhi 	剛理智	c=1 d=1 t=1977
gang wai hu 	剛外呼	c=1 d=1 t=1505
gao dong 	搞懂	c=0 d=0.1 t=609
gao qing chu 	搞清楚	c=1 d=1 t=594
ge 	個	c=4 d=0.845387 t=2084
gei 	給	c=7 d=1.09338 t=2084
gei ni 	給你	c=1 d=1 t=874
gen 	跟	c=4 d=0.400517 t=2084
gen ta 	跟他	c=1 d=1 t=1982
gong neng 	功能	c=1 d=1 t=2047
gou 	夠	c=1 d=1 t=1713
gou tong 	溝通	c=1 d=0.891366 t=2084
gu ji 	估計	c=2 d=0.960789 t=2084
gua duan 	掛斷	c=5 d=0.186374 t=2084
guan bi 	關閉	c=1 d=0.955997 t=2084
guan lian 	關聯	c=0 d=0.1 t=1347
guan lian xia 	關聯下	c=1 d=1 t=1348
guang 	光	c=1 d=0.214381 t=2084
guang sou suo 	光搜索	c=1 d=1 t=1154
gui 	桂	c=2 d=1.93707 t=2015
gui liang 	貴亮	c=1 d=1 t=2001
guo 	過	c=2 d=0.104669 t=2026
guo hua 	國華	c=1 d=1 t=824
guo jiang 	郭江	c=3 d=0.202513 t=2084
guo lai 	過來	c=2 d=1.14661 t=1575
guo qi 	國企	c=1 d=1 t=665
guo qi 	過期	c=1 d=1 t=666
guo qu 	過去	c=1 d=1.0039 t=1668
hai 	還	c=5 d=1.61484 t=2084
hai bu qing chu 	還不清楚	c=2 d=1.75621 t=2084
hai bu xing 	還不行	c=1 d=1 t=826
hai mei you 	還沒有	c=2 d=0.975612 t=2084
hai shi 	還是	c=9 d=0.80279 t=2084
hai you 	還有	c=1 d=1 t=1683
hai zai 	還在	c=4 d=1.64254 t=1830
han shu 	函數	c=2 d=1.90484 t=908
hao 	好	c=2 d=0.690734 t=2084
hao 	號	c=1 d=1.05123 t=1941
hao ba 	好吧	c=1 d=1 t=1017
hao de 	好的	c=3 d=0.98919 t=2084
hao duo 	好多	c=0 d=0.1 t=1538
hao duo ci 	好多次	c=1 d=1 t=1539
hao ma 	號碼	c=1 d=1 t=1528
hao xiang 	好像	c=5 d=0.852144 t=2084
hao zhe 	好着	c=1 d=1 t=690
he 	和	c=6 d=0.882497 t=2084
he he he 	呵呵呵	c=1 d=0.790571 t=2084
